Position,Runner,Time,Race Score,Age-Group,Gender,Nationality
191,MOMOSE Masaru,115:53:08,502,40-44,M,JPN
192,PORUBCAN Pavol,115:54:51,502,50-54,M,SVK
193,KORENFELD Alexandre,116:15:38,500,23-34,M,FRA
194,BARDET Emmanuel,116:17:48,500,50-54,M,FRA
195,LEPPÄLÄ Mika,116:28:32,499,40-44,M,FIN
196,LEBRAY David,116:33:58,499,50-54,M,FRA
197,PARIS Remi,116:44:37,498,35-39,M,FRA
198,PALMIER Nicolas,116:46:10,498,40-44,M,FRA
199,GASTON CONDUTE Guilhem,116:56:20,497,45-49,M,FRA
200,QUINDE ARMIJOS Gustavo Orlando,116:56:53,497,23-34,M,ITA
201,FOX Bradley,116:57:38,497,55-59,M,USA
202,VALENCONY Alexandre,117:06:03,497,35-39,M,FRA
203,HILMARSDOTTIR Hafdis Gudrun,117:09:09,496,50-54,F,ISL
204,DE DONCKER Gregory,117:12:42,496,45-49,M,FRA
205,TORDI Luca,117:15:29,496,35-39,M,ITA
206,RENAUD AURELIEN,117:25:40,495,40-44,M,FRA
207,SCIARRETTA Christian,117:25:57,495,50-54,M,ITA
208,KONO Megan,117:45:08,494,40-44,F,USA
209,MOELLER Thure,117:52:26,493,45-49,M,DEN
210,GUILLE Benjamin,118:05:11,492,40-44,M,FRA
211,CASAROTTO Riccardo,118:05:58,492,23-34,M,ITA
212,MEIER Adrian,118:11:26,492,40-44,M,SUI
213,ADRIAN Scott,118:18:57,491,50-54,M,GBR
214,PLATINI Martino,118:20:40,491,23-34,M,ITA
215,GARMENDIA ELORZA Aitor,118:22:43,491,45-49,M,ESP
216,LI Mui Chun,118:29:55,491,55-59,F,HKG
217,FENG Wei,118:30:09,491,55-59,M,SGP
218,YE Xiaoming,118:30:18,491,45-49,M,CHN
219,BUTTIGNOL Marco,118:35:24,490,23-34,M,ITA
220,HAYES Jacob,118:40:18,490,50-54,M,GBR
221,BUNN Spencer,118:40:25,490,50-54,M,GBR
222,BONICCO Mauro,118:45:30,490,45-49,M,ITA
223,BETOURET Sebastien,118:45:43,490,45-49,M,FRA
224,KRAHENBUHL Samuel,118:47:29,489,50-54,M,SUI
225,CABONA Diego,118:49:45,489,40-44,M,ITA
226,PASTORINO Adriano,118:57:33,489,45-49,M,ITA
227,CHERICONI Alessandro,118:57:39,489,40-44,M,ITA
228,SHIGEO Morisue,119:02:27,488,45-49,M,JPN
229,SIROT Philippe,119:17:43,487,45-49,M,FRA
230,BRIOT Anthony,119:17:44,487,45-49,M,FRA
231,BARBER Caleb,119:26:35,487,40-44,M,USA
232,MENEGHEL Stephane,119:48:38,485,50-54,M,FRA
233,GAROTA Maurizio,119:49:33,485,55-59,M,ITA
234,SEPTIYANTO Rachmat,119:52:36,485,35-39,M,INA
235,CHEDEL Yannick,119:54:34,485,50-54,M,SUI
236,GENERALI Alessandro,119:55:24,485,60-64,M,ITA
237,LACROUTS Clement,120:12:32,484,23-34,M,FRA
238,MARTINI Roberto,120:12:33,484,40-44,M,ITA
239,GOUDIE Amanda,120:15:35,483,40-44,F,CAN
240,PENNISI Alberto,120:22:29,483,40-44,M,ITA
241,BALOSSI Stefano,120:39:31,482,40-44,M,ITA
242,CARUSI Valeria,120:39:33,482,35-39,F,ITA
243,MONTORSI Davide,120:40:28,482,45-49,M,ITA
244,VAN EYLEN Peter,120:48:42,481,45-49,M,BEL
245,GAUDILLIERE Quentin,120:51:22,481,40-44,M,FRA
246,CANDRA Sianti,120:55:43,481,35-39,F,INA
247,CAMPANER Simone,121:07:18,480,50-54,M,ITA
248,TRUCCONE Giorgio,121:09:09,480,55-59,M,ITA
249,BRUNES Juliane,121:15:32,479,23-34,F,GER
250,BUTLER Luke,121:20:37,479,23-34,M,GBR
251,STÉBÉ-RIVET Thomas,121:24:46,479,45-49,M,FRA
252,FEDELE Domenico,121:25:04,479,60-64,M,ITA
253,SIEGENTHALER Patric,121:25:58,479,45-49,M,SUI
254,TORRENTE Samy,121:27:11,479,40-44,M,FRA
255,BROWN Jean,121:36:50,478,55-59,F,GBR
256,DOAT Pierre,122:22:15,475,55-59,M,BEL
257,EURY Mark,122:24:21,475,45-49,M,USA
258,WINDAL Pierre,122:27:02,475,23-34,M,FRA
259,RIGO Jaume,122:33:15,474,45-49,M,ESP
260,HANNES Pesserer,122:38:47,474,40-44,M,AUT
261,MICHETTI Andrea,122:52:24,473,45-49,M,ITA
262,FIOLETTI Angelo,123:09:08,472,55-59,M,ITA
263,FIORONI Massimo,123:12:41,472,55-59,M,ITA
264,RADIN Tatiana,123:14:16,472,40-44,F,ITA
265,PROUST Philippe,123:21:53,471,55-59,M,FRA
266,CHASLES Olivier,123:21:54,471,60-64,M,FRA
267,MULDER Rickert,123:23:15,471,35-39,M,RSA
268,STUHL Matthias,123:31:15,471,50-54,M,GER
269,HUTTL Adrian,123:31:18,471,23-34,M,GER
270,LYU Guangce,123:33:57,471,50-54,M,CHN
271,COMINOLI Andrea,123:40:07,470,45-49,M,ITA
272,SISWANTO Hendra,123:42:13,470,45-49,M,INA
273,CODECÀ Stefano,123:45:36,470,50-54,M,ITA
274,ROBERTS christopher,123:45:53,470,40-44,M,GBR
275,LEVENTHAL Shiri,123:50:31,469,40-44,F,AUS
276,MEREU Fabrice,123:53:25,469,55-59,M,FRA
277,PERETTI Davide,123:54:59,469,35-39,M,ITA
278,PAROLA Danilo Francesco,123:55:00,469,35-39,M,ITA
